userId,movieId,rating
1,3,4
1,6,4
1,50,5
1,70,3
1,110,4
1,151,5
1,157,5
1,163,5
1,235,4
1,260,5
1,296,3
1,316,3
1,333,5
1,349,4
1,356,4
1,367,4
1,423,3
1,457,5
1,500,3
1,527,5
1,543,4
1,552,4
1,553,5
1,590,4
1,592,4
1,593,4
1,596,5
1,608,5
1,648,3
1,661,5
1,673,3
1,733,4
1,736,3
1,923,5
1,943,4
1,1009,3
1,1024,5
1,1042,4
1,1049,5
1,1060,4
1,1073,5
1,1089,5
1,1090,4
1,1092,5
1,1097,5
1,1136,5
1,1196,5
1,1197,5
1,1198,5
1,1206,5
1,1208,4
1,1210,5
1,1213,5
1,1214,4
1,1219,2
1,1220,5
1,1258,3
1,1265,4
1,1275,5
1,1278,5
1,1348,4
1,1396,3
1,1445,3
1,1500,4
1,1517,5
1,1552,4
1,1573,5
1,1580,3
1,1587,5
1,1620,4
1,1625,5
1,1644,3
1,1676,3
1,1732,5
1,1777,4
1,1793,4
1,1805,4
1,1920,4
1,1954,5
1,1967,4
1,2012,4
1,2018,5
1,2028,4
1,2033,5
1,2046,4
1,2048,5
1,2054,4
1,2090,5
1,2093,3
1,2094,5
1,2099,4
1,2105,4
1,2115,5
1,2116,5
1,2137,5
1,2139,5
1,2141,5
1,2193,4
1,2253,2
1,2291,5
1,2329,5
1,2338,2
1,2353,5
1,2366,4
1,2387,5
1,2389,2
1,2414,3
1,2450,4
1,2470,5
1,2478,4
1,2502,5
1,2529,5
1,2571,5
1,2580,5
1,2616,4
1,2628,4
1,2640,4
1,2641,5
1,2644,4
1,2648,4
1,2654,5
1,2657,3
1,2700,5
1,2716,5
1,2761,5
1,2797,4
1,2826,4
1,2858,5
1,2872,5
1,2899,5
1,2916,4
1,2947,5
1,2948,5
1,2949,5
1,2959,5
1,2985,4
1,2987,5
1,2993,5
1,2997,4
1,3033,5
1,3034,5
1,3062,4
1,3147,5
1,3168,4
1,3176,1
1,3247,3
1,3253,5
1,3273,5
2,333,4
2,1704,4.5
3,31,0.5
3,688,0.5
3,720,0.5
3,849,5
3,914,0.5
3,1093,0.5
3,1263,0.5
3,1275,3.5
3,1302,0.5
3,1371,3
3,1587,4.5
3,2080,0.5
3,2090,0.5
3,2105,2
3,2288,4
3,2851,5
3,3024,4.5
3,3210,0.5
4,21,3
4,32,2
4,45,3
4,47,2
4,52,3
4,58,3
4,125,5
4,126,1
4,162,5
4,171,3
4,176,5
4,190,2
4,215,5
4,222,1
4,232,5
4,235,2
4,260,5
4,265,5
4,296,1
4,319,5
4,345,4
4,348,4
4,351,3
4,357,3
4,417,2
4,441,1
4,450,2
4,457,5
4,475,5
4,492,5
4,509,1
4,539,1
4,553,2
4,588,4
4,593,5
4,595,3
4,599,2
4,648,3
